,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,screen_revolution,battery,webcam,weight,price,screen_pixels,screen_width,screen_height
0,Laptop Lenovo Gaming LOQ 15APH8 (82XT00AKVN) (R7 7840HS/16GB RAM/512GB SSD/15.6 FHD 144hz/RTX 4050 6G/Win11/Xám),Lenovo,AMD,Ryzen 7,8,16,nvidia,SSD,512,Windows 11,15.6,FHD,60.0,1,2.4 ,25349000,1920x1080,1920,1080
1,Laptop Lenovo IdeaPad Gaming 3 15ARH7 (82SB00BBVN) (R5 6600H/16GB RAM/512GB SSD/15.6 FHD 120Hz/RTX 3050 4GB/Win11/Xám),Lenovo,AMD,Ryzen 5,8,16,nvidia,SSD,512,Windows 11,15.6,FHD,60.0,1,2.32 ,17299000,1920x1080,1920,1080
2,Laptop MSI Alpha 15 (B5EEK-203VN) (Ryzen 5 5600H/8GB RAM/512GBSSD/15.6 inch FHD 144Hz/RX6600M 8GB/Win11/Đen),MSI,AMD,Ryzen 5,8,64,amd,SSD,512,Windows 11,15.6,FHD,90.0,1,2.35 ,19299000,1920x1080,1920,1080
3,Laptop Asus VivoBook M7600QC-L2077W (R5 5600H/16GB RAM/512GB SSD/16 Oled 2.8K/RTX3050 4GB/Win11/Đen),Asus,AMD,Ryzen 5,16,16,nvidia,SSD,512,Windows 11,16,4K,96.0,1,1.30 ,28299000,3840x2400,3840,2400
4,Laptop Acer Gaming Nitro 16 Phoenix AN16-41-R5M4 (NH.QKBSV.003) (R5 7535HS/8GB Ram/512GB SSD/RTX4050 6G/16 inch FHD 165Hz/Win 11/Đen) ,Acer,AMD,Ryzen 5,8,16,intel,SSD,512,Windows 11,15.6,FHD,90.0,1,2.7 ,29999000,1920x1080,1920,1080
5,Laptop Asus Gaming TUF FA507NU-LP034W (R7 7735HS/8GB RAM/512GB SSD/15.6 FHD 144hz/RTX 4050 6GB/Win11/Xám),Asus,AMD,Ryzen 7,8,32,nvidia,SSD,512,Windows 11,15.6,FHD,90.0,1,2.20 ,22349000,1920x1080,1920,1080
6,Laptop MSI Gaming Bravo 15 (C7VFK-275VN) (R7- 7735HS/16GB RAM/512GB SSD/RTX4060 8GB/15.6 inch FHD 144Hz/Win 11/Đen) (2023),MSI,AMD,Ryzen 7,16,64,nvidia,SSD,512,Windows 11,15.6,FHD,53.5,1,2.35 ,27840000,1920x1080,1920,1080
7,Laptop Acer Gaming Nitro 16 Phoenix AN16-41-R50Z (NH.QLKSV.001) (R5 7640HS/8GB RAM/512GB SSD/RTX4050 6G/16 inch FHD 165Hz/Win 11/Đen) (2023),Acer,AMD,Ryzen 5,8,16,intel,SSD,512,Windows 11,15.6,FHD,90.0,1,2.7 ,29299000,1920x1080,1920,1080
8,"Laptop Lenovo IdeaPad Slim 5 Pro 16ARH7 (82SN003GVN) (R7 6800HS/16GB RAM/512GB SSD/16"" WQXGA/RTX 3050Ti 4GB/Win11/Xám)",Lenovo,AMD,Ryzen 7,16,16,nvidia,SSD,512,Windows 11,16,2.5K,75.0,1,1.95 ,22349000,2560x1600,2560,1600
9,Laptop Acer Gaming Aspire 7 A715-43G-R8GA (NH.QHDSV.002) (R5 5625U/8GB RAM/512GB SSD/15.6 inch FHD 144Hz/RTX3050 4G/Win11/Đen) ,Acer,AMD,Ryzen 5,8,16,intel,SSD,1024,Windows 11,15.6,FHD,50.0,1,2.1,16299000,1920x1080,1920,1080
