,Unnamed: 0,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,screen_revolution,battery,weight,price,screen_width,screen_height
0,0,Laptop Acer Aspire 3 A314-42P-R3B3 (NX.KSFSV.001) ((R7-5700U/16GB RAM/ 512GB SSD/14 inch FHD+/Win11/Bạc) ,Acer,AMD,Ryzen 7,16.0,16.0,amd,SSD,512,Windows 11,14.0,WUXGA,50.0,1.4,12649000.0,1920.0,1200.0
1,1,Laptop MSI Modern 15 (B7M-231VN) (R5 7530U/16GB RAM/512GB SSD/15.6 inch FHD/Win11/Đen),MSI,AMD,Ryzen 5,16.0,16.0,amd,SSD,512,Windows 11,15.6,FHD,39.0,1.75,13899000.0,1920.0,1080.0
2,2,Laptop Lenovo IdeaPad Gaming 3 15ARH7 (82SB00BBVN) (R5 6600H/16GB RAM/512GB SSD/15.6 FHD 120Hz/RTX 3050 4GB/Win11/Xám),Lenovo,AMD,Ryzen 5,8.0,16.0,nvidia,SSD,512,Windows 11,15.6,FHD,60.0,2.32,17299000.0,1920.0,1080.0
3,3,Laptop Asus VivoBook Go E1404FA-NK113W (R3 7320U/8GB RAM/256GB SSD/14 FHD/Win11/Bạc),Asus,AMD,Ryzen 3,8.0,8.0,intel,SSD,256,Windows 11,14.0,FHD,42.0,1.3,8699000.0,1920.0,1080.0
4,4,Laptop Dell Inspiron 3525 (R7 5700U 16GB RAM/1TB SSD/15.6 inch FHD 120Hz/Win 11/Đen) (NK_Bảo hành tại HACOM),Dell,AMD,Ryzen 7,16.0,16.0,amd,SSD,1024,Windows 11,15.6,FHD,41.0,1.68,17349000.0,1920.0,1080.0
5,5,Laptop MSI Modern 15 (B7M-098VN) (R7 7730U/8GB RAM/512GB SSD/15.6 inch FHD/Win11/Đen),MSI,AMD,Ryzen 7,8.0,8.0,amd,SSD,512,Windows 11,15.6,FHD,39.0,1.7,15340000.0,1920.0,1080.0
6,6,Laptop MSI Modern 14 (C7M-083VN) (R5 7530U/8GB RAM/512GB SSD/14.0 inch FHD/Win11/Đen),MSI,AMD,Ryzen 5,8.0,8.0,amd,SSD,512,Windows 11,14.0,FHD,39.0,1.4,12290000.0,1920.0,1080.0
7,7,Laptop MSI Modern 15 (B7M-099VN) (R5 7530U/8GB RAM/512GB SSD/15.6 inch FHD/Win11/Đen),MSI,AMD,Ryzen 5,8.0,8.0,amd,SSD,512,Windows 11,15.6,FHD,39.0,1.7,13290000.0,1920.0,1080.0
8,8,Laptop MSI Modern 14 (C7M-221VN) (R7 7730U/8GB RAM/512GB SSD/14.0 inch FHD/Win11/Đen),MSI,AMD,Ryzen 7,8.0,16.0,amd,SSD,512,Windows 11,15.6,FHD,39.0,1.4,12840000.0,1920.0,1080.0
9,9,Laptop Asus VivoBook M1503QA-L1044W (R7 5800H/8GB RAM/512GB SSD/15.6 FHD Oled/Win11/Bạc),Asus,AMD,Ryzen 7,8.0,24.0,amd,SSD,512,Windows 11,15.6,FHD,70.0,1.7,16349000.0,1920.0,1080.0
