,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,screen_revolution,battery,webcam,weight,price,screen_pixels
0,Laptop MSI Modern 15 (B7M-231VN) (R5 7530U/16GB RAM/512GB SSD/15.6 inch FHD/Win11/Đen),MSI,AMD,Ryzen 5,16,16,amd,SSD,512,Windows 11,15.6,FHD,39,1,1.75 ,14290000,1920x1080
1,Laptop Acer Gaming Nitro 16 Phoenix AN16-41-R76E (NH.QLLSV.004) (R9 7940HS/16GB RAM/512GB SSD/RTX4060 8G/16.0 inch WQXGA 165Hz/Win 11/Đen) (2023),Acer,AMD,Ryzen 9,16,32,nvidia,SSD,512,Windows 11,15.6,FHD,90,1,2.7 ,16299000,1920x1080
2,Laptop MSI Alpha 15 (B5EEK-203VN) (Ryzen 5 5600H/8GB RAM/512GBSSD/15.6 inch FHD 144Hz/RX6600M 8GB/Win11/Đen),MSI,AMD,Ryzen 5,8,64,amd,SSD,512,Windows 11,15.6,FHD,90,1,2.35 ,19299000,1920x1080
3,Laptop Dell Gaming G15 5525 (G15-5525-R5H085W11GR3050) (R5 6600H/8GB RAM/512GB SSD/RTX3050 4G/15.6 inch FHD 120Hz/Win11/OfficeHS21/Xám đen) ,Dell,AMD,Ryzen 5,8,32,nvidia,SSD,512,Windows 11,15.6,FHD,56,1,2.72,16299000,1920x1080
4,Laptop Asus Gaming Zephyrus Duo GX650PZ-NM031W (R9 7945HX/32GB RAM/1TB SSD/16 QHD 240hz/RTX 4080 12GB/Win11/Đen/Chuột/Balo),Asus,AMD,Ryzen 9,32,64,nvidia,SSD,1024,Windows 11,16,QHD,90,1,2.67 ,16299000,2560x1600
5,Laptop Asus Gaming TUF FA507NU-LP034W (R7 7735HS/8GB RAM/512GB SSD/15.6 FHD 144hz/RTX 4050 6GB/Win11/Xám),Asus,AMD,Ryzen 7,8,32,nvidia,SSD,512,Windows 11,15.6,FHD,90,1,2.20 ,22349000,1920x1080
6,Laptop Asus Gaming ROG Zephyrus GA402NJ-L4056W (R7 7735HS/16GB RAM/512GB SSD/14 WUXGA/RTX 3050 6GB/Win11/Túi/Xám),Asus,AMD,Ryzen 7,8,24,nvidia,SSD,512,Windows 11,14,FHD,76,1,72,34349000,1920x1200
7,Laptop Acer Gaming Nitro 16 Phoenix AN16-41-R5M4 (NH.QKBSV.003) (R5 7535HS/8GB Ram/512GB SSD/RTX4050 6G/16 inch FHD 165Hz/Win 11/Đen) ,Acer,AMD,Ryzen 5,8,32,nvidia,SSD,512,Windows 11,15.6,FHD,90,1,2.7 ,29999000,1920x1080
8,"Laptop Lenovo IdeaPad Slim 5 Pro 16ARH7 (82SN003GVN) (R7 6800HS/16GB RAM/512GB SSD/16"" WQXGA/RTX 3050Ti 4GB/Win11/Xám)",Lenovo,AMD,Ryzen 7,16,16,nvidia,SSD,512,Windows 11,16,2.5K,75,1,1.95 ,22349000,2560x1600
9,Laptop Acer Gaming Nitro 16 Phoenix AN16-41-R50Z (NH.QLKSV.001) (R5 7640HS/8GB RAM/512GB SSD/RTX4050 6G/16 inch FHD 165Hz/Win 11/Đen) (2023),Acer,AMD,Ryzen 5,8,32,nvidia,SSD,512,Windows 11,15.6,FHD,90,1,2.7 ,29299000,1920x1080
