,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,screen_width,screen_height,screen_revolution,battery,webcam,weight,price,screen_full
0,Laptop Asus TUF Gaming A15 FA507NU-LP131W (Ryzen™ 5-7535HS | 16GB | 1TB | RTX 4050 6GB | 15.6inch FHD 144Hz | Win 11 | Xám),Asus,AMD,Ryzen 5,16.0,32.0,nvidia,SSD,1024,Windows 11,15.6,1920.0,1080.0,FHD,90.0,1,2.2,29490000.0,1920 x 1080
1,Laptop Asus TUF Gaming A15 FA507UV-LP090W (Ryzen™ 9-8945HS | 16GB | 512GB | RTX™ 4060 8GB | 15.6inch FHD 144Hz | Win 11 | Xám),Asus,AMD,Ryzen 9,16.0,32.0,nvidia,SSD,512,Windows 11,15.6,1920.0,1080.0,FHD,90.0,1,2.2,38990000.0,1920 x 1080
2,Laptop Asus TUF Gaming A15 FA506NC-HN011W (Ryzen™ 5-7535HS | 8GB | 512GB | RTX™ 3050 4GB | 15.6inch FHD 144Hz | Win 11 | Đen),Asus,AMD,Ryzen 5,8.0,32.0,nvidia,SSD,512,Windows 11,15.6,1920.0,1080.0,FHD,48.0,1,2.2,21990000.0,1920 x 1080
3,Laptop MSI Katana A15 AI B8VF 419VN (AMD Ryzen 7-8840H | 16GB | 512GB | RTX 4060  | 15.6 inch FHD 144Hz | Win 11 | Đen),MSI,AMD,Ryzen 7,16.0,64.0,nvidia,SSD,512,Windows 11,15.6,1920.0,1080.0,FHD,53.5,1,2.25,30990000.0,1920 x 1080
4,Laptop MSI Thin A15 B7UC 026VN (Ryzen 5-7535HS | 8GB | 512GB | RTX 3050 | 15.6 inch FHD 144Hz | Win 11 | Xám),MSI,AMD,Ryzen 5,8.0,12.0,nvidia,SSD,512,Windows 11,15.6,1920.0,1080.0,FHD,52.4,1,1.86,20990000.0,1920 x 1080
5,"Dell Alienware M18 R1 (Ryzen™ 9-7845HX, Ram 32GB, SSD 1TB, RTX 4080, 18inch FHD+ 480Hz)",Dell,AMD,Ryzen 9,32.0,48.0,nvidia,SSD,1024,Windows 11,18,1920.0,1200.0,FHD,97.0,0,4.04,75990000.0,1920 x 1200
6,Laptop Asus TUF Gaming A15 FA507NV-LP061W (Ryzen™ 7-7735HS | 16GB | 1TB | RTX 4060 8GB | 15.6inch FHD 144Hz | Win 11 | Xám),Asus,AMD,Ryzen 7,16.0,32.0,nvidia,SSD,1024,Windows 11,15.6,1920.0,1080.0,FHD,90.0,1,2.2,32490000.0,1920 x 1080
7,Laptop Asus TUF Gaming A16 Advantage Edition FA617NS-N3486W (Ryzen™ 7-7735HS | 8GB | 512GB | Radeon™ RX 7600S | 16.0inch WUXGA 165Hz | Win 11 | Vàng),Asus,AMD,Ryzen 7,8.0,32.0,amd,SSD,512,Windows 11,16.0,1920.0,1200.0,FHD,90.0,1,2.2,29990000.0,"1920 x 1200, WUXGA"
8,Laptop Acer Nitro 16 Phoenix AN16-41-R3SM NH.QLLSV.003 (Ryzen 7-7840HS | 16GB | 512GB | RTX 4060 8GB | 16 inch WQXGA | Win 11 | Đen),Acer,AMD,Ryzen 7,16.0,32.0,nvidia,SSD,0,Windows 11,16,1920.0,1200.0,WUXGA,90.0,1,2.7,39990000.0,1920 x 1200
9,HP Victus 16-s0077AX 8C5N6PA (Ryzen 7-7840HS | 16GB | 512GB | RTX 3050 4GB | 16.1inch FHD 144Hz | Win11 | Đen),HP,AMD,Ryzen 7,16.0,24.0,nvidia,SSD,512,Windows 11,16.1,1920.0,1080.0,FHD,70.0,1,2.31,31690000.0,1920 x 1080
