,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,screen_width,screen_height,screen_revolution,battery,webcam,weight,price,screen_full
0,Laptop ASUS Vivobook 15X OLED M3504YA-L1268W (AMD Ryzen™ 5-7530U | 16GB | 512GB | Intel Iris Xᵉ | 15.6inch FHD OLED | Win 11 | Đen),Asus,AMD,Ryzen 5,16.0,24.0,amd,SSD,512,Windows 11,15.6,1920.0,1080.0,FHD,50.0,1,1.6,18990000.0,1920 x 1080
1,"Laptop Lenovo Yoga 6 13ABR8 (Ryzen 7-7730U, Ram 16GB, 512GB SSD, AMD Radeon™ Graphics, 13.3inch WUXGA , Win 11, Xanh đậm)",Lenovo,AMD,Ryzen 7,16.0,24.0,amd,SSD,512,Windows 11,14.0,1920.0,1200.0,WUXGA,59.0,1,1.37,19990000.0,1920x1200
2,"Laptop Lenovo Yoga 6 13ABR8 (Ryzen 5-7530U, Ram 8GB, 256GB SSD, AMD Radeon™ Graphics, 13.3inch WUXGA , Win 11, Xanh đậm)",Lenovo,AMD,Ryzen 5,8.0,12.0,amd,SSD,256,Windows 11,14.0,1920.0,1200.0,WUXGA,59.0,1,1.37,15990000.0,1920x1200
3,"Laptop Lenovo Yoga 7 16ARP8 (Ryzen™ 5-7535U, Ram 8GB, 512GB SSD, AMD Radeon 660M, 16inch WUXGA, Win 11, Xám)",Lenovo,AMD,Ryzen 5,8.0,12.0,amd,SSD,512,Windows 11,16,1920.0,1200.0,WUXGA,71.0,0,2.04,17990000.0,1920 x 1200
4,Laptop Lenovo IdeaPad Slim 3 15ABR8 82XM00EJVN (Ryzen™ 5-7430U | 16GB | 512GB | AMD Radeon™ Graphics | 15.6 inch FHD | Win 11 | Xám),Lenovo,AMD,Ryzen 5,16.0,24.0,amd,SSD,512,Windows 11,15.6,1920.0,1080.0,FHD,47.0,1,1.62,13990000.0,1920x1080
5,Laptop Lenovo IdeaPad Slim 3 15ABR8 82XM00EHVN (Ryzen™ 7-7730U | 16GB | 512GB | AMD Radeon™ Graphics | 15.6 inch FHD | Win 11 | Xám),Lenovo,AMD,Ryzen 7,16.0,24.0,amd,SSD,512,Windows 11,15.6,1920.0,1080.0,FHD,47.0,1,1.62,15990000.0,1920x1080
6,Laptop Lenovo ThinkBook 14 G6 ABP 21KJ005GVN (Ryzen™ 5-7530U | 16GB | 512GB | AMD Radeon™ Graphics | 14 inch WUXGA | Win 11 | Xám),Lenovo,AMD,Ryzen 5,16.0,64.0,intel,SSD,512,Windows 11,14.0,1920.0,1200.0,WUXGA,45.0,1,1.38,17490000.0,1920x1200
7,Laptop ASUS Vivobook 15X OLED M3504YA-L1332W (AMD Ryzen™ 7-7730U | 16GB | 512GB | Intel Iris Xᵉ | 15.6inch FHD | Win 11 | Đen),Asus,AMD,Ryzen 7,16.0,16.0,amd,SSD,512,Windows 11,15.6,1920.0,1080.0,FHD,50.0,1,1.6,18990000.0,1920 x 1080
8,Laptop Acer Swift Go 14 SFG14-41-R5JK NX.KG3SV.002 (Ryzen 5-7530U | 16GB | 1TB | AMD Radeon Graphics | 14 inch FHD | Win 11 | Bạc),Acer,AMD,Ryzen 5,16.0,24.0,intel,SSD,1024,Windows 11,14,1920.0,1080.0,FHD,50.0,1,1.2,19490000.0,1920 x 1080
9,Fujitsu MH 4ZR1K10281 (Ryzen™ 7-5825U | 16GB | 512GB | AMD Radeon Graphics | 15.0 inch FHD | Win 11 | Office | Đen),Lenovo,AMD,Ryzen 7,16.0,24.0,amd,SSD,512,Windows 11,15.0,1920.0,1080.0,FHD,60.0,1,1.37,21990000.0,1920 x 1080
