,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,webcam,weight,price
0,Laptop HP 14s dq5122TU 8W356PA (Core i3 1215U/ 8GB/ 256GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Silver),HP,Intel,i3,8.0,32.0,intel,SSD,256,Windows 11,14.0,1,1.46,10990000 
1,Laptop Dell Inspiron 3520 25P231 (Core i5 1235U/ 16GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home + Office Student/ Black/ Vỏ nhựa/ 1 Year),Dell,Intel,i5,16.0,16.0,intel,SSD,512,Windows 11,15.0,1,1.83,17990000 
2,Laptop Dell Vostro 3530 V5I5267W1 (Core i5 1335U/ 8GB/ 256GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home + Office Student/ Grey/ Vỏ nhựa/ 1 Year),Dell,Intel,i5,8.0,16.0,intel,SSD,256,Windows 11,15.0,1,1.66,17990000 
3,Laptop Dell Inspiron T7430 I7U165W11SLU (Core i7 1355U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch Full HD+ Touch/ Windows 11 Home + Office Student/ Titan Grey/ Vỏ nhôm/ Pen/ 1 Year),Dell,Intel,i7,16.0,16.0,intel,SSD,512,Windows 11,14.0,1,1.62,30990000 
4,Laptop Lenovo ThinkBook 16 G6 IRL 21KH00C6VN (Core i7 13700H/ 32GB/ 1TB SSD/ Intel Iris Xe Graphics/ 16.0inch WUXGA/ Windows 11 Home/ Grey/ Aluminium/ 2 Year),Lenovo,Intel,i7,32.0,64.0,intel,SSD,1024,Windows 11,16.0,1,1.7,26990000 
5,Laptop Dell Vostro 5630 THT7N (Core i7 1360P/ 16GB/ 512GB SSD/ Nvidia GeForce RTX 2050 4GB GDDR6/ 16.1inch FHD+/ Windows 11 Home + Office Student/ Grey/ Vỏ nhôm/ 1 Year),Dell,Intel,i7,16.0,16.0,nvidia,SSD,512,Windows 11,16.0,1,1.8,33979000 
6,Laptop Dell Inspiron 3530 N5I5791W1 (Core i5 1335U/ 16GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home + Office Student/ Black/ Vỏ nhựa/ 1 Year),Dell,Intel,i5,16.0,16.0,intel,SSD,512,Windows 11,15.0,1,1.66,19990000 
7,Laptop HP 15s fq5160TU 7C0S1PA (Core i5 1235U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 15.6inch Full HD/ Windows 11 Home/ Bạc),HP,Intel,i5,16.0,32.0,intel,SSD,512,Windows 11,15.0,1,1.69,16990000 
8,Laptop Dell Inspiron 3530 I5U085W11BLU (Core i5 1335U/ 8GB/ 512Gb SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home + Office Student/ Black/ Vỏ nhựa/ 1 Year),Dell,Intel,i5,8.0,16.0,intel,SSD,512,Windows 11,15.0,1,1.66,17490000 
9,"Laptop Lenovo IdeaPad Slim 3 15IAH8 83ER000FVN (Core i5 12450H/ 16GB/ 1TB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home/ Grey/ PC + ABS (Top), PC + ABS (Bottom)/ 2 Year)",Lenovo,Intel,i5,16.0,16.0,intel,SSD,1024,Windows 11,15.0,1,1.62,15490000 
10,Laptop Dell Vostro 3430 71021669 (Core i5 1335U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch Full HD/ Windows 11 Home + Office Student/ Titan Grey/ 1 Year),Dell,Intel,i5,16.0,32.0,intel,SSD,512,Windows 11,14.0,1,1.49,19790000 
11,Laptop Dell Inspiron 5430 (Core i7 1360P/ 16GB/ 1TB SSD/ Nvidia GeForce RTX 2050 4GB GDDR6/ 14.0inch 2.5K/ Windows 11 Home + Office Student/ Silver/ Vỏ nhôm/ 1 Year),Dell,Intel,i7,16.0,16.0,nvidia,SSD,1024,Windows 11,14.0,1,1.5,32490000 
12,Laptop Dell Vostro 3530 V5I3465W1 (Core i3 1305U/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home + Office Student/ Grey/ Vỏ nhựa/ 1 Year),Dell,Intel,i3,8.0,16.0,intel,SSD,512,Windows 11,15.0,1,1.66,14690000 
13,Laptop Dell Vostro 3520 5M2TT2 (Core i5 1235U/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home + Office Student/ Grey/ Vỏ nhựa/ 1 Year),Dell,Intel,i5,8.0,40.0,intel,SSD,512,Windows 11,15.0,1,1.66,18990000 
14,Laptop HP 15s fq5231TU 8U241PA (Core i3 1215U/ 8GB/ 256GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home/ Silver),HP,Intel,i3,8.0,16.0,intel,SSD,256,Windows 11,15.0,1,2.2,20990000 
15,Laptop Dell Latitude 3430 L3430I58G256SSD (Core i5 1235U/ 8GB/ 256GB SSD/ Intel Iris Xe Graphics/ 14.0inch/ NoOS/ Black/ 1 Year),Dell,Intel,i5,8.0,32.0,intel,SSD,256,NoOS,14.0,1,1.52,16990000 
16,Laptop Lenovo ThinkPad T14 GEN 4 Winpro (Core i7 1360P/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch WUXGA/ Windows 11 Pro/ Black/ Carbon Fiber/ 3 Year),Lenovo,Intel,i7,16.0,48.0,intel,SSD,512,Windows 11,14.0,1,1.36,37990000 
17,Laptop Lenovo ThinkPad E16 GEN 1 21JN00FKVA (Core i5 13500H/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 16.0inch WUXGA/ NoOS/ Black/ Aluminium/ 2 Year),Lenovo,Intel,i5,16.0,48.0,intel,SSD,512,NoOS,16.0,1,1.97,21990000 
18,Laptop Lenovo ThinkBook 15 G5 IRL (Core i7 1355U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 15.6inch Full HD/ NoOS/ Grey/ Aluminium/ 1 Year),Lenovo,Intel,i7,16.0,16.0,intel,SSD,512,NoOS,15.0,1,1.7,20990000 
19,Laptop Dell Vostro 3430 71026453 (Core i3 1305U/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home + Office Student/ Titan Grey/ 1 Year),Dell,Intel,i3,8.0,16.0,intel,SSD,512,Windows 11,14.0,1,1.49,12990000 
20,Laptop Asus Vivobook 15 X1504VA-NJ070W (Core i5 1335U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 15.6inch Full HD/ Windows 11 Home/ Blue),Asus,Intel,i5,16.0,32.0,intel,SSD,512,Windows 11,15.0,1,1.8,18490000 
21,Laptop Dell Inspiron 3530 71026454 (Core i7 1355U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 15.6inch Full HD/ Windows 11 Home + Office Student/ Black/ Vỏ nhựa/ 1 Year),Dell,Intel,i7,16.0,16.0,intel,SSD,512,Windows 11,15.0,1,1.62,23990000 
22,Laptop Dell Vostro 3520 I5U165W11GRU KYHD (Core i5 1235U/ 16GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home + Office Student/ Grey/ Vỏ nhựa/ 1 Year),Dell,Intel,i5,16.0,16.0,intel,SSD,512,Windows 11,15.0,1,1.83,16990000 
23,Laptop Lenovo V15 G4 IRU 83A1000NVN (Core i3 1315U/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home/ Grey/ Vỏ nhựa/ 2 Year),Lenovo,Intel,i3,8.0,16.0,intel,SSD,512,Windows 11,15.0,1,1.7,12590000 
24,Laptop Lenovo ThinkPad E14 GEN 4 21E300GWVN (Core i7 1255U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch Full HD/ Windows 11 Home/ Black/ Aluminium/ 2 Year),Lenovo,Intel,i7,16.0,32.0,intel,SSD,512,Windows 11,14.0,1,1.64,22990000 
25,Laptop HP EliteBook 630 G10 9H1N9PT (Core i7 1355U/ 16GB/ 512GB SSD/ Intel UHD Graphics/ 13.3inch Full HD/ Windows 11 Home/ Silver/ Vỏ nhôm),HP,Intel,i7,16.0,32.0,intel,SSD,512,Windows 11,13.0,1,1.4,27790000 
26,Laptop HP Pavilion x360 14-ek1049TU 80R27PA (Core i5 1335U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch FHD TouchScreen/ Windows 11 Home/ Gold/ Hợp kim nhôm/ Pen),HP,Intel,i5,16.0,32.0,intel,SSD,512,Windows 11,14.0,1,1.51,23290000 
