os,ram,vga,battery,weight,price,webcam,chipset,chipset_gen,screen_size,screen_width,screen_height,screen_revolution,storage_type,storage,brand,ram_max
Win,8,intel,41,0.56,18999000,0,Intel,i3,10.5,1280,1920,FHD,SSD,128,Microsoft,16
Win,8,intel,41,0.56,21499000,0,Intel,i3,10.5,1280,1920,FHD,SSD,128,Microsoft,16
Win,16,amd,40,0.61,17490000,1,AMD,Ryzen 1,15.6,1920,1080,FHD,SSD,512,Asus,24
Win,8,intel,50,0.8,13990000,1,Intel,i3,13.3,1920,1080,FHD,SSD,256,Asus,12
Win,16,intel,64,0.89,30190000,1,Intel,i7,14,1920,1200,WUXGA,SSD,1024,Dell,24
Win,16,intel,65,0.9,28390000,1,Intel,i5,13.3,1920,1080,FHD,SSD,512,Dell,24
Win,16,intel,65,0.9,26490000,1,Intel,i7,13.3,1920,1080,FHD,SSD,1024,Dell,24
Win,16,intel,65,0.9,33390000,1,Intel,i7,13.3,1920,1080,FHD,SSD,512,Dell,24
Win,16,intel,48,0.91,16890000,1,Intel,i5,13,2160,1350,2K,SSD,512,Lenovo,24
Win,16,intel,48,0.91,17990000,1,Intel,i5,13,2160,1350,2K,SSD,512,Lenovo,24
Win,16,intel,48,0.91,19990000,1,Intel,i7,13,2160,1350,2K,SSD,512,Lenovo,24
Win,16,intel,48,0.91,20990000,1,Intel,i7,13,2160,1350,2K,SSD,512,Lenovo,24
Win,16,intel,48,0.91,20990000,1,Intel,i7,13,2160,1350,2K,SSD,512,Lenovo,24
Win,16,intel,48,0.91,19490000,1,Intel,i5,13,2160,1350,2K,SSD,512,Lenovo,24
Win,16,intel,55,0.97,49890000,1,Intel,i7,13,2160,1350,2K,SSD,512,Lenovo,24
Win,16,intel,60,0.99,33990000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,LG,24
Win,16,intel,68,0.99,49390000,1,Intel,i7,13.5,1920,1280,WUXGA,SSD,1024,HP,24
Win,16,intel,68,0.99,48990000,1,Intel,i7,13.5,1920,1280,WUXGA,SSD,1024,HP,24
No OS,8,intel,72,1,20490000,1,Intel,i5,14,1920,1200,WUXGA,SSD,256,LG,12
